Titel;Autor(en);ISBN;ASIN;Erscheinungsjahr;Genre;Seitenanzahl;Dauer (Stunden);Dauer (Minuten);Buchart;Preis;Erhalten als;Lesestatus;Lesebeginn;Leseende;Bewertung;Kategorie;Notizen;Erhalten am
Tote Seelen singen nicht;Jussi Adler Olsen, Line Holm, Stine Bolther;;;2025;;521;0;0;E-Book;0;Leihe;Gelesen;03.08.2026;31.08.2026;0;;;01.08.2026
Eragon - Die Weisheit des Feuers;Christopher Paolini;9783-6410-2304-1;;2009;Young Adult Fiction;864;0;0;E-Book;0;Leihe;Gelesen;21.09.2020;09.11.2020;0;;;04.07.2020
Eragon - Der Auftrag des Ältesten;Christopher Paolini;9783-6410-2303-4;;2009;Young Adult Fiction;864;0;0;E-Book;0;Leihe;Gelesen;02.08.2020;21.09.2020;0;;;04.07.2020
Eragon;Christopher Paolini;9783-6410-2302-7;;2009;Young Adult Fiction;736;0;0;E-Book;0;Leihe;Gelesen;04.07.2020;29.07.2020;0;;;04.07.2020
Finderlohn;Stephen King;9783-6411-6402-7;;2015;Fiction;560;0;0;E-Book;0;Geschenk;Gelesen;10.05.2020;01.06.2020;0;;;14.05.2020
Opfer 2117: ;Jussi Adler-Olsen;9783-4234-3664-9;B07R7BJ73B;2019;Thriller & Suspense;592;0;0;E-Book;0;Leihe;Gelesen;01.03.2020;13.04.2020;0;;;01.03.2020
Mind Control;Stephen King;9783-6411-9558-8;;2016;Fiction;544;0;0;E-Book;0;Kauf;Gelesen;03.06.2020;03.07.2020;0;;;03.06.2020
Mr. Mercedes;Stephen King;9783-6411-4293-3;B00KG5XJ7U;2014;Suspense;593;0;0;E-Book;0;Leihe;Gelesen;13.04.2020;09.05.2020;0;;;13.04.2020
Sniper: Ein Jack-Reacher-Roman;Lee Child;9783-6410-2829-9;B004OL2UWM;2009;Thriller & Suspense;481;0;0;E-Book;0;Leihe;Gelesen;10.02.2020;01.03.2020;0;;;01.03.2020
Ein Krokodil taucht ab (und ich hinterher);Nina Rosa Weger;9783-7891-5129-3;3789151297;2013;Liebesgeschichten;336;0;0;Hardcover;0;Leihe;Gelesen;15.01.2020;08.02.2020;0;;;20.12.2019
Vernichtung;David Lagercrantz;9783-6412-0027-5;B07QM6JKT3;2019;Krimis & Thriller;432;0;0;E-Book;0;Tausch;Gelesen;19.11.2019;14.01.2020;0;;;19.11.2019
Die 13 1/2 Leben des Käpt'n Blaubär;Walter Moers;9783-8135-0572-6;3813505723;2013;Custom Stores;704;0;0;Taschenbuch;24,29;Kauf;Pausiert;13.01.2024;;0;;;14.01.2024
Verfolgung;David Lagercrantz;9783-6411-9933-3;B071D2ZXX1;2017;Krimis & Thriller;481;0;0;E-Book;0;Geschenk;Gelesen;14.10.2019;18.11.2019;0;;;14.10.2019
Verschwörung;David Lagercrantz;9783-4532-6962-0;3453269624;2015;Krimis;608;0;0;Hardcover;0;Geschenk;Gelesen;27.09.2019;13.10.2019;0;;;14.10.2019
Glennkill: Ein Schafskrimi;Leonie Swann;9783-4424-6415-9;;2007;Detektiv- & Kriminalgeschichten;384;0;0;Taschenbuch;0;Leihe;Abgebrochen;27.09.2022;;0;;;27.09.2022
The Great Nowitzki;Thomas Pletzinger;9783-4620-4732-5;3462047329;2019;Basketball;512;0;0;Hardcover;0;Geschenk;Pausiert;21.07.2020;;0;;;24.05.2020
